,Entity,Code,Year,TonsPerPerson,KiloPerWeek
43,Andorra,AND,2010,-19.37,-371.4794520547945
1319,Monaco,MCO,2010,-19.37,-371.4794520547945
1165,Luxembourg,LUX,2010,-19.37,-371.4794520547945
692,Ethiopia,ETH,2010,-19.34,-370.90410958904107
186,Belarus,BLR,2010,-19.32,-370.52054794520546
1308,Moldova,MDA,2010,-18.85,-361.5068493150685
670,Eritrea,ERI,2010,-18.8,-360.54794520547944
1187,Madagascar,MDG,2010,-18.490000000000002,-354.6027397260274
1456,North Korea,PRK,2010,-18.400000000000002,-352.87671232876716
494,Cote d'Ivoire,CIV,2010,-18.36,-352.10958904109583
1121,Liberia,LBR,2010,-18.310000000000002,-351.15068493150693
2242,Zimbabwe,ZWE,2010,-18.310000000000002,-351.15068493150693
1198,Malawi,MWI,2010,-18.21,-349.2328767123288
846,Haiti,HTI,2010,-18.03,-345.7808219178082
1989,Tanzania,TZA,2010,-17.98,-344.8219178082192
164,Bangladesh,BGD,2010,-17.880000000000003,-342.9041095890411
2220,Yemen,YEM,2010,-17.85,-342.3287671232877
1357,Mozambique,MOZ,2010,-17.82,-341.7534246575342
593,Eastern Africa,,2010,-17.82,-341.7534246575342
1368,Myanmar,MMR,2010,-17.79,-341.1780821917808
10,Afghanistan,AFG,2010,-17.720000000000002,-339.8356164383562
318,Burundi,BDI,2010,-17.700000000000003,-339.45205479452056
1978,Tajikistan,TJK,2010,-17.59,-337.3424657534246
549,Democratic Republic of Congo,COD,2010,-17.560000000000002,-336.76712328767127
1088,Least developed countries,,2010,-17.560000000000002,-336.76712328767127
340,Cameroon,CMR,2010,-17.54,-336.3835616438356
428,Chad,TCD,2010,-17.490000000000002,-335.4246575342466
1445,Nigeria,NGA,2010,-17.490000000000002,-335.4246575342466
824,Guinea,GIN,2010,-17.37,-333.1232876712329
2011,Togo,TGO,2010,-17.27,-331.20547945205476
1297,Middle Africa,,2010,-17.240000000000002,-330.6301369863014
1390,Nepal,NPL,2010,-17.240000000000002,-330.6301369863014
1747,Sierra Leone,SLE,2010,-17.07,-327.36986301369865
2176,Western Africa,,2010,-17.060000000000002,-327.17808219178085
1665,Rwanda,RWA,2010,-16.990000000000002,-325.8356164383562
1253,Mauritania,MRT,2010,-16.94,-324.87671232876716
1912,Sub-Saharan Africa,,2010,-16.92,-324.4931506849315
1901,Sri Lanka,LKA,2010,-16.92,-324.4931506849315
758,Gambia,GMB,2010,-16.85,-323.1506849315069
384,Central African Republic,CAF,2010,-16.78,-321.8082191780822
1566,Papua New Guinea,PNG,2010,-16.720000000000002,-320.6575342465754
2066,Uganda,UGA,2010,-16.700000000000003,-320.27397260273983
472,Congo,COG,2010,-16.69,-320.0821917808219
1544,Pakistan,PAK,2010,-16.66,-319.5068493150685
1720,Senegal,SEN,2010,-16.46,-315.67123287671234
923,Iraq,IRQ,2010,-16.330000000000002,-313.17808219178085
1011,Kenya,KEN,2010,-16.32,-312.98630136986304
307,Burkina Faso,BFA,2010,-16.29,-312.4109589041096
32,Algeria,DZA,2010,-16.27,-312.027397260274
54,Angola,AGO,2010,-16.19,-310.4931506849315
2231,Zambia,ZMB,2010,-16.14,-309.5342465753425
571,Djibouti,DJI,2010,-16.11,-308.958904109589
791,Ghana,GHA,2010,-16.09,-308.57534246575347
1434,Niger,NER,2010,-16.04,-307.6164383561644
1423,Nicaragua,NIC,2010,-16.02,-307.23287671232873
813,Guatemala,GTM,2010,-15.930000000000001,-305.5068493150685
1044,Landlocked developing countries,,2010,-15.89,-304.7397260273973
1802,Somalia,SOM,2010,-15.89,-304.7397260273973
1346,Morocco,MAR,2010,-15.81,-303.20547945205476
890,India,IND,2010,-15.81,-303.20547945205476
219,Benin,BEN,2010,-15.8,-303.01369863013707
1967,Syria,SYR,2010,-15.740000000000002,-301.8630136986302
1275,Melanesia,OWID_MNS,2010,-15.72,-301.47945205479454
329,Cambodia,KHM,2010,-15.71,-301.28767123287673
1868,Southern Asia,,2010,-15.690000000000001,-300.9041095890411
417,Central and Southern Asia,,2010,-15.490000000000002,-297.06849315068496
1599,Philippines,PHL,2010,-15.47,-296.68493150684935
1132,Libya,LBY,2010,-15.41,-295.5342465753425
857,Honduras,HND,2010,-15.280000000000001,-293.04109589041093
747,Gabon,GAB,2010,-15.23,-292.0821917808219
2022,Trinidad and Tobago,TTO,2010,-15.13,-290.1643835616439
1231,Mali,MLI,2010,-15.100000000000001,-289.5890410958905
1522,Oceania (excluding Australia and New Zealand),,2010,-15.040000000000001,-288.4383561643836
582,Dominican Republic,DOM,2010,-14.950000000000001,-286.7123287671233
131,Azerbaijan,AZE,2010,-14.900000000000002,-285.7534246575343
241,Bolivia,BOL,2010,-14.810000000000002,-284.027397260274
1055,Laos,LAO,2010,-14.59,-279.8082191780822
87,Armenia,ARM,2010,-14.540000000000001,-278.8493150684932
1110,Lesotho,LSO,2010,-14.46,-277.3150684931507
1467,Northern Africa,,2010,-14.440000000000001,-276.9315068493151
659,El Salvador,SLV,2010,-14.330000000000002,-274.82191780821927
901,Indonesia,IDN,2010,-14.330000000000002,-274.82191780821927
373,Caribbean,,2010,-14.280000000000001,-273.8630136986302
