,Entity,Code,Year,TonsPerPerson,KiloPerWeek
43,Andorra,AND,2010,-19.37,-371.4794521
1319,Monaco,MCO,2010,-19.37,-371.4794521
1165,Luxembourg,LUX,2010,-19.37,-371.4794521
692,Ethiopia,ETH,2010,-19.34,-370.9041096
186,Belarus,BLR,2010,-19.32,-370.5205479
1308,Moldova,MDA,2010,-18.85,-361.5068493
670,Eritrea,ERI,2010,-18.8,-360.5479452
1187,Madagascar,MDG,2010,-18.49,-354.6027397
1456,North Korea,PRK,2010,-18.4,-352.8767123
494,Cote d'Ivoire,CIV,2010,-18.36,-352.109589
1121,Liberia,LBR,2010,-18.31,-351.1506849
2242,Zimbabwe,ZWE,2010,-18.31,-351.1506849
1198,Malawi,MWI,2010,-18.21,-349.2328767
846,Haiti,HTI,2010,-18.03,-345.7808219
1989,Tanzania,TZA,2010,-17.98,-344.8219178
164,Bangladesh,BGD,2010,-17.88,-342.9041096
2220,Yemen,YEM,2010,-17.85,-342.3287671
1357,Mozambique,MOZ,2010,-17.82,-341.7534247
593,Eastern Africa,,2010,-17.82,-341.7534247
1368,Myanmar,MMR,2010,-17.79,-341.1780822
10,Afghanistan,AFG,2010,-17.72,-339.8356164
318,Burundi,BDI,2010,-17.7,-339.4520548
1978,Tajikistan,TJK,2010,-17.59,-337.3424658
549,Democratic Republic of Congo,COD,2010,-17.56,-336.7671233
1088,Least developed countries,,2010,-17.56,-336.7671233
340,Cameroon,CMR,2010,-17.54,-336.3835616
428,Chad,TCD,2010,-17.49,-335.4246575
1445,Nigeria,NGA,2010,-17.49,-335.4246575
824,Guinea,GIN,2010,-17.37,-333.1232877
2011,Togo,TGO,2010,-17.27,-331.2054795
1297,Middle Africa,,2010,-17.24,-330.630137
1390,Nepal,NPL,2010,-17.24,-330.630137
1747,Sierra Leone,SLE,2010,-17.07,-327.369863
2176,Western Africa,,2010,-17.06,-327.1780822
1665,Rwanda,RWA,2010,-16.99,-325.8356164
1253,Mauritania,MRT,2010,-16.94,-324.8767123
1912,Sub-Saharan Africa,,2010,-16.92,-324.4931507
1901,Sri Lanka,LKA,2010,-16.92,-324.4931507
758,Gambia,GMB,2010,-16.85,-323.1506849
384,Central African Republic,CAF,2010,-16.78,-321.8082192
1566,Papua New Guinea,PNG,2010,-16.72,-320.6575342
2066,Uganda,UGA,2010,-16.7,-320.2739726
472,Congo,COG,2010,-16.69,-320.0821918
1544,Pakistan,PAK,2010,-16.66,-319.5068493
1720,Senegal,SEN,2010,-16.46,-315.6712329
923,Iraq,IRQ,2010,-16.33,-313.1780822
1011,Kenya,KEN,2010,-16.32,-312.9863014
307,Burkina Faso,BFA,2010,-16.29,-312.4109589
32,Algeria,DZA,2010,-16.27,-312.0273973
54,Angola,AGO,2010,-16.19,-310.4931507
2231,Zambia,ZMB,2010,-16.14,-309.5342466
571,Djibouti,DJI,2010,-16.11,-308.9589041
791,Ghana,GHA,2010,-16.09,-308.5753425
1434,Niger,NER,2010,-16.04,-307.6164384
1423,Nicaragua,NIC,2010,-16.02,-307.2328767
813,Guatemala,GTM,2010,-15.93,-305.5068493
1044,Landlocked developing countries,,2010,-15.89,-304.739726
1802,Somalia,SOM,2010,-15.89,-304.739726
1346,Morocco,MAR,2010,-15.81,-303.2054795
890,India,IND,2010,-15.81,-303.2054795
219,Benin,BEN,2010,-15.8,-303.0136986
1967,Syria,SYR,2010,-15.74,-301.8630137
1275,Melanesia,OWID_MNS,2010,-15.72,-301.4794521
329,Cambodia,KHM,2010,-15.71,-301.2876712
1868,Southern Asia,,2010,-15.69,-300.9041096
417,Central and Southern Asia,,2010,-15.49,-297.0684932
1599,Philippines,PHL,2010,-15.47,-296.6849315
1132,Libya,LBY,2010,-15.41,-295.5342466
857,Honduras,HND,2010,-15.28,-293.0410959
747,Gabon,GAB,2010,-15.23,-292.0821918
2022,Trinidad and Tobago,TTO,2010,-15.13,-290.1643836
1231,Mali,MLI,2010,-15.1,-289.5890411
1522,Oceania (excluding Australia and New Zealand),,2010,-15.04,-288.4383562
582,Dominican Republic,DOM,2010,-14.95,-286.7123288
131,Azerbaijan,AZE,2010,-14.9,-285.7534247
241,Bolivia,BOL,2010,-14.81,-284.0273973
1055,Laos,LAO,2010,-14.59,-279.8082192
87,Armenia,ARM,2010,-14.54,-278.8493151
1110,Lesotho,LSO,2010,-14.46,-277.3150685
1467,Northern Africa,,2010,-14.44,-276.9315068
659,El Salvador,SLV,2010,-14.33,-274.8219178
901,Indonesia,IDN,2010,-14.33,-274.8219178
373,Caribbean,,2010,-14.28,-273.8630137
714,Fiji,FJI,2010,-13.68,-262.3561644
483,Costa Rica,CRI,2010,-13.57,-260.2465753
362,Cape Verde,CPV,2010,-13.49,-258.7123288
2033,Tunisia,TUN,2010,-13.35,-256.0273973
1379,Namibia,NAM,2010,-13.26,-254.3013699
648,Egypt,EGY,2010,-13.16,-252.3835616
2132,Uzbekistan,UZB,2010,-13.15,-252.1917808
1846,South-Eastern Asia,,2010,-12.87,-246.8219178
769,Georgia,GEO,2010,-12.61,-241.8356164
2077,Ukraine,UKR,2010,-12.36,-237.0410959
2165,Vietnam,VNM,2010,-12.32,-236.2739726
1033,Kyrgyzstan,KGZ,2010,-12.29,-235.6986301
1698,Sao Tome and Principe,STP,2010,-12.27,-235.3150685
967,Jamaica,JAM,2010,-12.19,-233.7808219
516,Cuba,CUB,2010,-12.16,-233.2054795
2154,Venezuela,VEN,2010,-12.09,-231.8630137
395,Central America,,2010,-12.03,-230.7123288
252,Bosnia and Herzegovina,BIH,2010,-11.85,-227.260274
1555,Panama,PAN,2010,-11.74,-225.1506849
989,Jordan,JOR,2010,-11.55,-221.5068493
461,Colombia,COL,2010,-11.5,-220.5479452
1654,Russia,RUS,2010,-11.37,-218.0547945
1478,Northern Africa and Western Asia,,2010,-11.35,-217.6712329
21,Albania,ALB,2010,-11.12,-213.260274
1286,Mexico,MEX,2010,-10.98,-210.5753425
1813,South Africa,ZAF,2010,-10.62,-203.6712329
1857,Southern Africa,,2010,-10.51,-201.5616438
637,Ecuador,ECU,2010,-10.46,-200.6027397
208,Belize,BLZ,2010,-10.27,-196.9589041
